,DESTINATION,KEYWORDS,ORIGIN
31856,LHR,seemed,EWR
31857,LHR,overly,EWR
31858,LHR,crowded,EWR
31859,LHR,breakfast,EWR
31860,LHR,food,EWR
31861,LHR,items,EWR
31862,LHR,offered,EWR
31863,LHR,substandard,EWR
31864,LHR,estimation,EWR
31865,GSP,reschedule,EWR
31866,GSP,flight,EWR
31867,GSP,wouldve,EWR
31868,GSP,missed,EWR
31869,GSP,connection,EWR
31870,GSP,delay,EWR
31871,GSP,nyc,EWR
31872,GSP,weather,EWR
31873,GSP,friday,EWR
31874,GSP,rescheduled,EWR
31875,GSP,requested,EWR
31876,GSP,upgrade,EWR
31877,GSP,flight,EWR
31878,GSP,economy,EWR
31879,GSP,rather,EWR
31880,GSP,basic,EWR
31881,GSP,economy,EWR
31882,GSP,werent,EWR
31883,GSP,able,EWR
31884,GSP,suggested,EWR
31885,GSP,send,EWR
31886,GSP,formal,EWR
31887,GSP,complaint,EWR
31888,GSP,wasnt,EWR
31889,GSP,able,EWR
31890,GSP,reschedule,EWR
31891,GSP,convenient,EWR
31892,GSP,airport,EWR
31893,GSP,travel,EWR
31894,GSP,extra,EWR
31895,GSP,ewr,EWR
31896,GSP,overall,EWR
31897,GSP,frustrating,EWR
31898,GSP,process,EWR
31899,GSP,dissuade,EWR
31900,GSP,booking,EWR
31901,EGE,purchased,EWR
31902,EGE,extra,EWR
31903,EGE,leg,EWR
31904,EGE,room,EWR
31905,EGE,width,EWR
31906,EGE,seat,EWR
31907,EGE,terrible,EWR
31908,EGE,especially,EWR
31909,EGE,husband,EWR
31910,EGE,middle,EWR
31911,EGE,seat,EWR
31912,SRQ,flying,ORD
31913,SRQ,business,ORD
31914,SRQ,total,ORD
31915,SRQ,waste,ORD
31916,SRQ,money,ORD
31917,SRQ,nothing,ORD
31918,SRQ,special,ORD
31919,SRQ,seats,ORD
31920,SRQ,breakfast,ORD
31921,SRQ,subpar,ORD
31922,SRQ,obviously,ORD
31923,SRQ,business,ORD
31924,SRQ,travelers,ORD
31925,SRQ,arent,ORD
31926,SRQ,equal,ORD
31927,SRQ,choice,ORD
31928,SRQ,breakfasts,ORD
31929,BZE,negative,EWR
31930,BZE,thing,EWR
31931,BZE,delay,EWR
31932,BZE,airport,EWR
31933,BZE,issues,EWR
31934,EWR,worried,CMH
31935,EWR,weather,CMH
